지점,지점명,일시,강수량(mm)
108,서울,2021.1.5 0:00,0
108,서울,2021.1.5 3:00,0
108,서울,2021.1.5 6:00,0
108,서울,2021.1.5 9:00,0
108,서울,2021.1.6 21:00,2.2
108,서울,2021.1.7 0:00,0.1
108,서울,2021.1.12 15:00,0.1
108,서울,2021.1.12 18:00,2.3
108,서울,2021.1.12 21:00,0.2
108,서울,2021.1.13 0:00,0
108,서울,2021.1.13 3:00,0
108,서울,2021.1.15 15:00,0.2
108,서울,2021.1.17 18:00,0
108,서울,2021.1.17 21:00,0
108,서울,2021.1.18 0:00,0
108,서울,2021.1.18 3:00,0
108,서울,2021.1.18 6:00,0
108,서울,2021.1.18 12:00,0.3
108,서울,2021.1.18 15:00,0
108,서울,2021.1.21 15:00,0.6
108,서울,2021.1.21 18:00,4
108,서울,2021.1.21 21:00,3.7
108,서울,2021.1.22 0:00,0.9
108,서울,2021.1.22 3:00,0
108,서울,2021.1.22 6:00,0.1
108,서울,2021.1.26 9:00,0
108,서울,2021.1.26 12:00,1.3
108,서울,2021.1.26 15:00,0
108,서울,2021.1.26 18:00,0.4
108,서울,2021.1.28 12:00,2
108,서울,2021.1.30 6:00,0
108,서울,2021.1.30 9:00,0.2
108,서울,2021.1.30 12:00,0.3
108,서울,2021.2.1 3:00,0.7
108,서울,2021.2.2 21:00,0
108,서울,2021.2.3 0:00,0
108,서울,2021.2.3 18:00,0
108,서울,2021.2.3 21:00,0
108,서울,2021.2.4 0:00,3.4
108,서울,2021.2.4 3:00,0.1
108,서울,2021.2.14 6:00,0
108,서울,2021.2.15 3:00,0
108,서울,2021.2.15 6:00,1.2
108,서울,2021.2.15 9:00,0.2
108,서울,2021.2.16 9:00,0
108,서울,2021.2.16 12:00,0.8
108,서울,2021.2.16 15:00,0.7
108,서울,2021.2.17 21:00,0
108,서울,2021.3.1 3:00,0
108,서울,2021.3.1 6:00,4
108,서울,2021.3.1 9:00,12.3
108,서울,2021.3.1 12:00,18.7
108,서울,2021.3.1 15:00,15.8
108,서울,2021.3.1 18:00,10.1
108,서울,2021.3.1 21:00,4.3
108,서울,2021.3.2 0:00,2.3
108,서울,2021.3.2 3:00,0.1
108,서울,2021.3.12 9:00,0
108,서울,2021.3.12 15:00,0
108,서울,2021.3.12 18:00,0
108,서울,2021.3.16 0:00,1.7
108,서울,2021.3.16 3:00,1.3
108,서울,2021.3.20 9:00,0
