지점,지점명,일시,강수량(mm)
108,서울,2022.6.6 5:00,0.2
108,서울,2022.6.6 6:00,0.2
108,서울,2022.6.6 7:00,0.1
108,서울,2022.6.6 8:00,1.7
108,서울,2022.6.6 9:00,0
108,서울,2022.6.6 10:00,0.8
108,서울,2022.6.6 11:00,0
108,서울,2022.6.7 4:00,0
108,서울,2022.6.7 5:00,0
108,서울,2022.6.9 6:00,0
108,서울,2022.6.9 7:00,0
108,서울,2022.6.9 8:00,0
108,서울,2022.6.9 9:00,0.1
108,서울,2022.6.9 10:00,0
108,서울,2022.6.9 13:00,0.2
108,서울,2022.6.9 14:00,2.3
108,서울,2022.6.10 14:00,0
108,서울,2022.6.10 15:00,1.2
108,서울,2022.6.10 20:00,0
108,서울,2022.6.10 21:00,0
108,서울,2022.6.13 3:00,2.4
108,서울,2022.6.13 4:00,15.5
108,서울,2022.6.13 5:00,0.1
108,서울,2022.6.13 14:00,0
108,서울,2022.6.13 16:00,0
108,서울,2022.6.13 17:00,0
108,서울,2022.6.14 23:00,0
108,서울,2022.6.15 0:00,0
108,서울,2022.6.15 1:00,0
108,서울,2022.6.15 2:00,1.2
108,서울,2022.6.15 3:00,4.7
108,서울,2022.6.15 4:00,2.5
108,서울,2022.6.15 5:00,0.8
108,서울,2022.6.15 6:00,0.2
108,서울,2022.6.15 7:00,0.1
108,서울,2022.6.15 8:00,0
108,서울,2022.6.15 9:00,1
108,서울,2022.6.15 10:00,0.8
108,서울,2022.6.15 11:00,3.1
108,서울,2022.6.15 12:00,0.5
108,서울,2022.6.15 13:00,0.2
108,서울,2022.6.15 14:00,0
108,서울,2022.6.15 15:00,1.4
108,서울,2022.6.15 16:00,0
108,서울,2022.6.15 17:00,0
108,서울,2022.6.15 22:00,0.1
108,서울,2022.6.15 23:00,1.9
108,서울,2022.6.16 0:00,0
108,서울,2022.6.16 1:00,0.3
108,서울,2022.6.16 2:00,0.1
108,서울,2022.6.16 3:00,0
108,서울,2022.6.16 6:00,0
108,서울,2022.6.16 7:00,0.1
108,서울,2022.6.16 8:00,0
108,서울,2022.6.16 9:00,0.2
108,서울,2022.6.18 15:00,0
108,서울,2022.6.23 8:00,0
108,서울,2022.6.23 9:00,0.8
108,서울,2022.6.23 10:00,0.4
108,서울,2022.6.23 13:00,3
108,서울,2022.6.23 14:00,9.5
108,서울,2022.6.23 15:00,7.8
108,서울,2022.6.23 16:00,3.1
108,서울,2022.6.23 17:00,1.9
108,서울,2022.6.23 18:00,9.8
108,서울,2022.6.23 19:00,31.4
108,서울,2022.6.23 20:00,15.3
108,서울,2022.6.23 21:00,0.1
108,서울,2022.6.23 22:00,9.9
108,서울,2022.6.23 23:00,8.6
108,서울,2022.6.24 0:00,1.4
108,서울,2022.6.24 1:00,14.4
108,서울,2022.6.24 2:00,4.4
108,서울,2022.6.24 3:00,0.1
108,서울,2022.6.24 4:00,0
108,서울,2022.6.24 6:00,0
108,서울,2022.6.24 7:00,0.2
108,서울,2022.6.24 8:00,0
108,서울,2022.6.24 15:00,0
108,서울,2022.6.27 1:00,0.2
108,서울,2022.6.27 2:00,0.4
108,서울,2022.6.27 3:00,0
108,서울,2022.6.27 4:00,0.4
108,서울,2022.6.27 5:00,0.2
108,서울,2022.6.27 7:00,0
108,서울,2022.6.27 8:00,0
108,서울,2022.6.27 9:00,0
108,서울,2022.6.27 10:00,0
108,서울,2022.6.27 11:00,0
108,서울,2022.6.27 12:00,0.3
108,서울,2022.6.27 13:00,1.6
108,서울,2022.6.27 14:00,1.3
108,서울,2022.6.27 15:00,0.5
108,서울,2022.6.27 16:00,0.7
108,서울,2022.6.27 17:00,0.5
108,서울,2022.6.27 18:00,0
108,서울,2022.6.27 19:00,0
108,서울,2022.6.27 20:00,0
108,서울,2022.6.27 21:00,0
108,서울,2022.6.27 22:00,0
108,서울,2022.6.28 1:00,0
108,서울,2022.6.28 2:00,0
108,서울,2022.6.28 3:00,0
108,서울,2022.6.28 4:00,0
108,서울,2022.6.28 5:00,1.2
108,서울,2022.6.28 6:00,0
108,서울,2022.6.28 11:00,0
108,서울,2022.6.28 12:00,0
108,서울,2022.6.28 13:00,0
108,서울,2022.6.28 14:00,0
108,서울,2022.6.28 15:00,3.2
108,서울,2022.6.28 18:00,0
108,서울,2022.6.28 19:00,0
108,서울,2022.6.28 20:00,0
108,서울,2022.6.28 21:00,0.8
108,서울,2022.6.28 22:00,0
108,서울,2022.6.28 23:00,0.3
108,서울,2022.6.29 0:00,0.8
108,서울,2022.6.29 1:00,0.9
108,서울,2022.6.29 2:00,7.8
108,서울,2022.6.29 3:00,1.3
108,서울,2022.6.29 4:00,0.4
108,서울,2022.6.29 5:00,0.9
108,서울,2022.6.29 6:00,0
108,서울,2022.6.29 7:00,0
108,서울,2022.6.29 8:00,0.1
108,서울,2022.6.29 9:00,0
108,서울,2022.6.29 10:00,0
108,서울,2022.6.29 11:00,0
108,서울,2022.6.29 12:00,0.5
108,서울,2022.6.29 13:00,10.2
108,서울,2022.6.29 14:00,0
108,서울,2022.6.29 15:00,1.8
108,서울,2022.6.29 16:00,0.2
108,서울,2022.6.29 17:00,0.9
108,서울,2022.6.29 18:00,0.1
108,서울,2022.6.29 19:00,0.4
108,서울,2022.6.29 20:00,4.7
108,서울,2022.6.29 21:00,3.1
108,서울,2022.6.29 22:00,0.5
108,서울,2022.6.29 23:00,1.3
108,서울,2022.6.30 0:00,2.7
108,서울,2022.6.30 1:00,5.8
108,서울,2022.6.30 2:00,3.2
108,서울,2022.6.30 3:00,2.8
108,서울,2022.6.30 4:00,14.1
108,서울,2022.6.30 5:00,12.3
108,서울,2022.6.30 6:00,20.8
108,서울,2022.6.30 7:00,7.9
108,서울,2022.6.30 8:00,17.6
108,서울,2022.6.30 9:00,3.8
108,서울,2022.6.30 10:00,8
108,서울,2022.6.30 11:00,23.8
108,서울,2022.6.30 12:00,0.9
108,서울,2022.6.30 13:00,3
108,서울,2022.6.30 14:00,7.9
108,서울,2022.6.30 15:00,8.2
108,서울,2022.6.30 16:00,5.8
108,서울,2022.6.30 17:00,11.5
108,서울,2022.6.30 18:00,11.8
108,서울,2022.6.30 19:00,2.2
108,서울,2022.6.30 20:00,2.7
108,서울,2022.6.30 21:00,1
108,서울,2022.6.30 22:00,1
108,서울,2022.6.30 23:00,0.1
108,서울,2022.7.4 13:00,0
108,서울,2022.7.4 14:00,0
108,서울,2022.7.4 15:00,0
108,서울,2022.7.5 9:00,0
108,서울,2022.7.5 10:00,0
108,서울,2022.7.5 14:00,0
108,서울,2022.7.5 15:00,0
108,서울,2022.7.6 15:00,0
108,서울,2022.7.6 21:00,0
108,서울,2022.7.6 22:00,0.7
108,서울,2022.7.6 23:00,15.4
108,서울,2022.7.7 0:00,0
108,서울,2022.7.7 15:00,0
108,서울,2022.7.7 18:00,0
108,서울,2022.7.7 19:00,0
108,서울,2022.7.7 21:00,0
108,서울,2022.7.7 22:00,0
108,서울,2022.7.7 23:00,0
108,서울,2022.7.8 1:00,0
108,서울,2022.7.8 2:00,1.7
108,서울,2022.7.8 3:00,0
108,서울,2022.7.8 5:00,0
108,서울,2022.7.8 6:00,0
108,서울,2022.7.8 8:00,0
108,서울,2022.7.8 9:00,0
108,서울,2022.7.8 10:00,0
108,서울,2022.7.8 12:00,0
108,서울,2022.7.8 13:00,0
108,서울,2022.7.8 15:00,0
108,서울,2022.7.8 16:00,0
108,서울,2022.7.8 23:00,0
108,서울,2022.7.9 0:00,0
108,서울,2022.7.9 1:00,0.1
108,서울,2022.7.9 2:00,0
108,서울,2022.7.9 5:00,0
108,서울,2022.7.9 6:00,0
108,서울,2022.7.9 7:00,0
108,서울,2022.7.9 8:00,0
108,서울,2022.7.9 9:00,0
108,서울,2022.7.10 22:00,0
108,서울,2022.7.11 1:00,0
108,서울,2022.7.11 2:00,1.1
108,서울,2022.7.11 16:00,0.9
108,서울,2022.7.11 17:00,7
108,서울,2022.7.11 18:00,0
108,서울,2022.7.13 3:00,0.1
108,서울,2022.7.13 4:00,0
108,서울,2022.7.13 5:00,0
108,서울,2022.7.13 6:00,0.1
108,서울,2022.7.13 7:00,0.5
108,서울,2022.7.13 8:00,0.5
108,서울,2022.7.13 9:00,1
108,서울,2022.7.13 10:00,1.8
108,서울,2022.7.13 11:00,16.1
108,서울,2022.7.13 12:00,3.7
108,서울,2022.7.13 13:00,3.9
108,서울,2022.7.13 14:00,6.4
108,서울,2022.7.13 15:00,22.6
108,서울,2022.7.13 16:00,22.3
108,서울,2022.7.13 17:00,13.1
108,서울,2022.7.13 18:00,14.1
108,서울,2022.7.13 19:00,6.7
108,서울,2022.7.13 20:00,1.4
108,서울,2022.7.13 21:00,0.1
108,서울,2022.7.13 22:00,0.1
108,서울,2022.7.13 23:00,0
108,서울,2022.7.14 0:00,0
108,서울,2022.7.14 1:00,0.1
108,서울,2022.7.14 2:00,0.1
108,서울,2022.7.14 3:00,0
108,서울,2022.7.14 4:00,0.1
108,서울,2022.7.14 5:00,0.3
108,서울,2022.7.14 6:00,0.2
108,서울,2022.7.14 7:00,0.1
108,서울,2022.7.16 6:00,0
108,서울,2022.7.16 10:00,0
108,서울,2022.7.16 11:00,0
108,서울,2022.7.16 12:00,0
108,서울,2022.7.16 13:00,0
108,서울,2022.7.16 14:00,0
108,서울,2022.7.16 15:00,0
108,서울,2022.7.16 16:00,0
108,서울,2022.7.16 17:00,7.8
108,서울,2022.7.16 18:00,26.2
108,서울,2022.7.16 19:00,0
108,서울,2022.7.17 11:00,0
108,서울,2022.7.17 12:00,0
108,서울,2022.7.17 13:00,0
108,서울,2022.7.20 20:00,0
108,서울,2022.7.20 21:00,0
108,서울,2022.7.20 22:00,0.3
108,서울,2022.7.20 23:00,0
108,서울,2022.7.21 0:00,0.8
108,서울,2022.7.21 1:00,0.9
108,서울,2022.7.21 2:00,0.5
108,서울,2022.7.21 3:00,0.1
108,서울,2022.7.21 4:00,1.2
108,서울,2022.7.21 5:00,0.7
108,서울,2022.7.21 6:00,2.7
108,서울,2022.7.21 7:00,1.4
108,서울,2022.7.21 8:00,1.7
108,서울,2022.7.21 9:00,1
108,서울,2022.7.21 10:00,0.2
108,서울,2022.7.21 11:00,0
108,서울,2022.7.21 14:00,0
108,서울,2022.7.21 15:00,0
108,서울,2022.7.22 13:00,1
108,서울,2022.7.22 14:00,4.2
108,서울,2022.7.22 15:00,0
108,서울,2022.7.22 16:00,0
108,서울,2022.7.23 16:00,0
108,서울,2022.7.23 17:00,0.5
108,서울,2022.7.23 18:00,0.2
108,서울,2022.7.23 19:00,0.6
108,서울,2022.7.23 20:00,2.2
108,서울,2022.7.23 21:00,0.4
108,서울,2022.7.23 22:00,1
108,서울,2022.7.23 23:00,3.9
108,서울,2022.7.24 0:00,1.1
108,서울,2022.7.24 1:00,1.2
108,서울,2022.7.24 2:00,0
108,서울,2022.7.24 3:00,0
108,서울,2022.7.24 4:00,0
108,서울,2022.7.24 16:00,0
108,서울,2022.7.24 17:00,0
108,서울,2022.7.30 15:00,0.9
108,서울,2022.7.30 16:00,0.1
108,서울,2022.7.30 20:00,0
108,서울,2022.7.30 21:00,0
108,서울,2022.7.31 7:00,0
108,서울,2022.7.31 8:00,0
108,서울,2022.7.31 10:00,0
108,서울,2022.7.31 11:00,0
108,서울,2022.7.31 12:00,1.3
108,서울,2022.7.31 13:00,0.5
108,서울,2022.7.31 14:00,5.4
108,서울,2022.7.31 15:00,3
108,서울,2022.7.31 16:00,1.7
108,서울,2022.7.31 17:00,0.4
108,서울,2022.7.31 18:00,0.4
108,서울,2022.7.31 19:00,0.3
108,서울,2022.7.31 20:00,2.9
108,서울,2022.7.31 21:00,6.4
108,서울,2022.7.31 22:00,14.7
108,서울,2022.7.31 23:00,9.1
108,서울,2022.8.1 0:00,1.1
108,서울,2022.8.1 1:00,0.1
108,서울,2022.8.1 2:00,0
108,서울,2022.8.1 3:00,0.2
108,서울,2022.8.1 4:00,4.6
108,서울,2022.8.1 5:00,5.9
108,서울,2022.8.1 6:00,11.1
108,서울,2022.8.1 7:00,6.7
108,서울,2022.8.1 8:00,1.3
108,서울,2022.8.1 9:00,0
108,서울,2022.8.1 10:00,0
108,서울,2022.8.1 11:00,0
108,서울,2022.8.1 12:00,0
108,서울,2022.8.1 17:00,0
108,서울,2022.8.1 18:00,0
108,서울,2022.8.1 20:00,0
108,서울,2022.8.1 21:00,0
108,서울,2022.8.1 22:00,0
108,서울,2022.8.1 23:00,0
108,서울,2022.8.2 0:00,0.1
108,서울,2022.8.2 1:00,0.4
108,서울,2022.8.2 2:00,1.4
108,서울,2022.8.2 3:00,7
108,서울,2022.8.2 4:00,6.5
108,서울,2022.8.2 5:00,0.4
108,서울,2022.8.2 6:00,0
108,서울,2022.8.2 7:00,0
108,서울,2022.8.2 8:00,0
108,서울,2022.8.2 9:00,0
108,서울,2022.8.2 11:00,0
108,서울,2022.8.2 12:00,0.1
108,서울,2022.8.2 13:00,0
108,서울,2022.8.2 14:00,0
108,서울,2022.8.2 15:00,0.7
108,서울,2022.8.2 16:00,2.3
108,서울,2022.8.2 17:00,0.5
108,서울,2022.8.2 18:00,5
108,서울,2022.8.2 19:00,0.6
108,서울,2022.8.2 20:00,0
108,서울,2022.8.2 21:00,0
108,서울,2022.8.2 22:00,2.4
108,서울,2022.8.2 23:00,2.5
108,서울,2022.8.3 0:00,3.7
108,서울,2022.8.3 1:00,9
108,서울,2022.8.3 2:00,1.7
108,서울,2022.8.3 3:00,1.6
108,서울,2022.8.3 4:00,0.6
108,서울,2022.8.3 5:00,16.5
108,서울,2022.8.3 6:00,7.8
108,서울,2022.8.3 7:00,4.3
108,서울,2022.8.3 8:00,7.7
108,서울,2022.8.3 9:00,0.6
108,서울,2022.8.3 10:00,1
108,서울,2022.8.3 11:00,0.3
108,서울,2022.8.3 12:00,0
108,서울,2022.8.3 17:00,0
108,서울,2022.8.3 18:00,0
108,서울,2022.8.3 20:00,0
108,서울,2022.8.3 21:00,0
108,서울,2022.8.3 23:00,0
108,서울,2022.8.4 0:00,0
108,서울,2022.8.4 2:00,0
108,서울,2022.8.5 4:00,0
108,서울,2022.8.5 10:00,0
108,서울,2022.8.6 11:00,0
108,서울,2022.8.6 12:00,11.4
108,서울,2022.8.6 16:00,2.2
108,서울,2022.8.7 9:00,0.9
108,서울,2022.8.7 10:00,0
108,서울,2022.8.7 21:00,0
108,서울,2022.8.7 22:00,0
108,서울,2022.8.7 23:00,0
108,서울,2022.8.8 0:00,0
108,서울,2022.8.8 1:00,0
108,서울,2022.8.8 2:00,0
108,서울,2022.8.8 5:00,0
108,서울,2022.8.8 6:00,0.1
108,서울,2022.8.8 7:00,0.8
108,서울,2022.8.8 8:00,0.6
108,서울,2022.8.8 9:00,1.3
108,서울,2022.8.8 10:00,0.3
108,서울,2022.8.8 11:00,0.2
108,서울,2022.8.8 12:00,0
108,서울,2022.8.8 13:00,31.3
108,서울,2022.8.8 14:00,4.9
108,서울,2022.8.8 15:00,1.3
108,서울,2022.8.8 16:00,9
108,서울,2022.8.8 17:00,0.4
108,서울,2022.8.8 18:00,27.7
108,서울,2022.8.8 19:00,12.5
108,서울,2022.8.8 20:00,0.1
108,서울,2022.8.8 21:00,1.9
108,서울,2022.8.8 22:00,26.6
108,서울,2022.8.8 23:00,9.8
108,서울,2022.8.9 0:00,0.8
108,서울,2022.8.9 1:00,1.2
108,서울,2022.8.9 2:00,0.7
108,서울,2022.8.9 3:00,0.1
108,서울,2022.8.9 4:00,0.5
108,서울,2022.8.9 5:00,1.5
108,서울,2022.8.9 6:00,2.3
108,서울,2022.8.9 7:00,0.3
108,서울,2022.8.9 9:00,0
108,서울,2022.8.9 10:00,0.2
108,서울,2022.8.9 11:00,6.4
108,서울,2022.8.9 12:00,7.3
108,서울,2022.8.9 13:00,14.1
108,서울,2022.8.9 14:00,2.9
108,서울,2022.8.9 15:00,1.1
108,서울,2022.8.9 16:00,0.2
108,서울,2022.8.9 17:00,3.3
108,서울,2022.8.9 18:00,22.1
108,서울,2022.8.9 19:00,5.2
108,서울,2022.8.9 20:00,11.5
108,서울,2022.8.9 21:00,19.5
108,서울,2022.8.9 22:00,1.2
108,서울,2022.8.9 23:00,8.6
108,서울,2022.8.10 0:00,12.9
108,서울,2022.8.10 1:00,2.8
108,서울,2022.8.10 2:00,3
108,서울,2022.8.10 3:00,0
108,서울,2022.8.10 6:00,0
108,서울,2022.8.10 7:00,0
108,서울,2022.8.10 20:00,0
108,서울,2022.8.10 22:00,0.1
108,서울,2022.8.10 23:00,0.5
108,서울,2022.8.11 0:00,1.2
108,서울,2022.8.11 1:00,0
108,서울,2022.8.11 2:00,2.1
108,서울,2022.8.11 3:00,2.9
108,서울,2022.8.11 4:00,5.2
108,서울,2022.8.11 5:00,23.9
108,서울,2022.8.11 6:00,3.6
108,서울,2022.8.11 7:00,0
108,서울,2022.8.11 8:00,0.3
108,서울,2022.8.11 9:00,0.8
108,서울,2022.8.11 10:00,0
108,서울,2022.8.11 12:00,0
108,서울,2022.8.11 13:00,0
108,서울,2022.8.11 14:00,0
108,서울,2022.8.13 12:00,0.3
108,서울,2022.8.13 13:00,1.7
108,서울,2022.8.13 14:00,1.3
108,서울,2022.8.13 15:00,0.7
108,서울,2022.8.13 16:00,0
108,서울,2022.8.13 17:00,0
108,서울,2022.8.14 2:00,0
108,서울,2022.8.14 18:00,3
108,서울,2022.8.14 20:00,0
108,서울,2022.8.14 21:00,0
108,서울,2022.8.14 22:00,0
108,서울,2022.8.15 18:00,0
108,서울,2022.8.15 19:00,0.7
108,서울,2022.8.15 20:00,0
108,서울,2022.8.15 22:00,0
108,서울,2022.8.15 23:00,0.2
108,서울,2022.8.16 0:00,0
108,서울,2022.8.16 4:00,0
108,서울,2022.8.17 15:00,0
108,서울,2022.8.19 13:00,0
108,서울,2022.8.19 14:00,0
108,서울,2022.8.19 15:00,0
108,서울,2022.8.19 16:00,18.8
108,서울,2022.8.19 17:00,40.7
108,서울,2022.8.19 18:00,3.1
108,서울,2022.8.19 19:00,0
108,서울,2022.8.19 20:00,2.5
108,서울,2022.8.19 21:00,0.1
108,서울,2022.8.19 22:00,0
108,서울,2022.8.19 23:00,0.7
108,서울,2022.8.20 0:00,0.2
108,서울,2022.8.20 1:00,0
108,서울,2022.8.20 2:00,0
108,서울,2022.8.22 16:00,0
108,서울,2022.8.22 22:00,1.3
108,서울,2022.8.22 23:00,1.9
108,서울,2022.8.23 0:00,0
108,서울,2022.8.23 1:00,0
108,서울,2022.8.23 2:00,0
108,서울,2022.8.23 3:00,0
108,서울,2022.8.23 4:00,0.1
108,서울,2022.8.23 5:00,0.8
108,서울,2022.8.23 6:00,0.9
108,서울,2022.8.23 7:00,0.4
108,서울,2022.8.23 8:00,0
108,서울,2022.8.25 9:00,0
108,서울,2022.8.25 10:00,0
108,서울,2022.8.25 11:00,0
108,서울,2022.8.25 12:00,0.7
108,서울,2022.8.25 13:00,0.3
108,서울,2022.8.25 14:00,0.5
108,서울,2022.8.25 15:00,0.1
108,서울,2022.8.25 17:00,0
108,서울,2022.8.25 18:00,0
108,서울,2022.8.25 19:00,0
108,서울,2022.8.27 2:00,15.6
108,서울,2022.8.27 3:00,2
108,서울,2022.8.29 3:00,0
108,서울,2022.8.29 4:00,0
108,서울,2022.8.29 5:00,0
108,서울,2022.8.29 6:00,0
108,서울,2022.8.29 7:00,0.2
108,서울,2022.8.29 8:00,0.5
108,서울,2022.8.29 9:00,0.4
108,서울,2022.8.29 10:00,0.5
108,서울,2022.8.29 11:00,0.1
108,서울,2022.8.29 12:00,0.1
108,서울,2022.8.29 13:00,0.3
108,서울,2022.8.29 14:00,0.1
108,서울,2022.8.29 15:00,0
108,서울,2022.8.30 2:00,0.1
108,서울,2022.8.30 3:00,1.8
108,서울,2022.8.30 4:00,3.9
108,서울,2022.8.30 5:00,3.7
108,서울,2022.8.30 6:00,1.3
108,서울,2022.8.30 7:00,1.2
108,서울,2022.8.30 8:00,2.8
108,서울,2022.8.30 9:00,2.3
