지점,지점명,일시,강수량(mm)
108,서울,2020.1.1 0:00,0
108,서울,2020.1.1 3:00,0
108,서울,2020.1.1 6:00,0
108,서울,2020.1.1 9:00,0
108,서울,2020.1.1 12:00,0.1
108,서울,2020.1.6 12:00,0
108,서울,2020.1.6 15:00,0.1
108,서울,2020.1.6 18:00,0.6
108,서울,2020.1.6 21:00,0.5
108,서울,2020.1.7 0:00,0.6
108,서울,2020.1.7 3:00,2.1
108,서울,2020.1.7 6:00,7.4
108,서울,2020.1.7 9:00,6.5
108,서울,2020.1.7 12:00,2.4
108,서울,2020.1.7 15:00,4.6
108,서울,2020.1.7 18:00,7.2
108,서울,2020.1.7 21:00,9
108,서울,2020.1.8 0:00,7.1
108,서울,2020.1.8 3:00,6.2
108,서울,2020.1.8 6:00,4
108,서울,2020.1.8 9:00,1.4
108,서울,2020.1.8 12:00,0
108,서울,2020.1.19 12:00,0.6
108,서울,2020.1.19 15:00,0
108,서울,2020.1.27 18:00,0
108,서울,2020.1.27 21:00,0
108,서울,2020.1.28 0:00,0.1
108,서울,2020.1.28 3:00,0
108,서울,2020.1.28 6:00,0
108,서울,2020.1.31 15:00,0
108,서울,2020.2.3 3:00,0
108,서울,2020.2.4 15:00,0
108,서울,2020.2.4 18:00,0.2
108,서울,2020.2.4 21:00,1.5
108,서울,2020.2.5 0:00,0
108,서울,2020.2.8 0:00,0
108,서울,2020.2.8 3:00,0
108,서울,2020.2.10 0:00,0
108,서울,2020.2.10 3:00,0
108,서울,2020.2.12 6:00,0.1
108,서울,2020.2.12 9:00,0
108,서울,2020.2.12 12:00,0.8
108,서울,2020.2.12 15:00,1.4
108,서울,2020.2.12 18:00,1.2
108,서울,2020.2.12 21:00,3.2
108,서울,2020.2.13 0:00,0
108,서울,2020.2.15 21:00,0.3
108,서울,2020.2.16 0:00,1.7
108,서울,2020.2.16 3:00,8.1
108,서울,2020.2.16 6:00,3.5
108,서울,2020.2.16 9:00,0.8
